AccidentId	RoadType	RoadNumber	RoadSecNumber	RoadLetter	Circulation	LaneNumber	SpecialLane	Slope	RoadMarkerId	RoadMarkerDistance	Layout	StripWidth	LaneWidth	SurfaceCondition	Infrastructure	Localization	SchoolNear
201800000001	Departamental	41		C	TwoWay	2	0	Flat			RightCurve			Normal	Unknown	Lane	00
201800000002	Communal	41		D	TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000003	Departamental	39		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000004	Departamental	39			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000005	Communal				OneWay	1	0	Flat			Straight			Normal	Unknown	Lane	00
201800000006	Departamental	39		D	Unknown	2	0	Uphill			LeftCurve			Wet	Unknown	Shoulder	00
201800000007	Departamental	41		D	TwoWay	2	0	Flat	16	500	Straight			Normal	Unknown	Shoulder	00
201800000008	Communal	-			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000009	Departamental	141		D	TwoWay	2	0	Flat			Straight			Normal	Unknown	Shoulder	00
201800000010	Departamental	641			TwoWay	2	Bike	Flat	1	670	Straight			Normal	Unknown	Lane	00
201800000011	Departamental	641			TwoWay	2	SeparatedBike	Flat			Straight			Normal	Unknown	Lane	00
201800000012	National	41			DividedHighway	4	Reserved	Flat	36	1	Straight			Normal	Unknown	Lane	00
201800000013	Departamental	22		C	TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000014	Departamental	947			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000015	Departamental	22			TwoWay	2	0	Flat			Straight			Wet	Unknown	Shoulder	00
201800000016	Departamental	917			TwoWay	2	Bike	Flat			Straight			Normal	PedestrianZone	Lane	00
201800000017	Communal				TwoWay	2	0	Flat			Straight			Wet	Unknown	Sidewalk	00
201800000018	Departamental	917			TwoWay	2	0	Flat	23	785	Straight			Normal	Unknown	Lane	00
201800000019	Departamental	145			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000020	Communal				TwoWay	2	0	Flat			LeftCurve			Normal	Unknown	Lane	00
201800000021	Communal				TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000022	Departamental	917			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
201800000023	Departamental	917			TwoWay	2	0	Flat			Straight			Normal	Unknown	Lane	00
