ID	TARGET	EVENT_DATE
ID00002	1	14/11/2019
ID00003	0	13/11/2019
ID00006	0	04/11/2019
ID00007	0	14/11/2019
ID00009	0	03/11/2019
ID00011	0	07/11/2019
ID00012	0	11/11/2019
ID00014	0	07/11/2019
ID00017	0	01/11/2019
ID00018	0	09/11/2019
ID00020	0	10/11/2019
ID00021	0	06/11/2019
ID00022	0	14/11/2019
ID00023	0	14/11/2019
ID00024	0	04/11/2019
ID00026	1	14/11/2019
ID00027	0	05/11/2019
ID00029	0	01/11/2019
ID00030	0	12/11/2019
ID00031	0	14/11/2019
ID00032	0	05/11/2019
ID00033	1	06/11/2019
ID00034	0	06/11/2019
ID00036	0	01/11/2019
ID00037	0	14/11/2019
ID00038	0	03/11/2019
ID00039	0	04/11/2019
ID00040	0	03/11/2019
ID00041	0	08/11/2019
ID00042	0	13/11/2019
ID00043	0	13/11/2019
ID00045	0	08/11/2019
ID00046	0	11/11/2019
ID00047	0	14/11/2019
ID00048	0	06/11/2019
ID00049	1	09/11/2019
ID00050	0	05/11/2019
ID00052	0	14/11/2019
ID00053	0	05/11/2019
ID00054	0	14/11/2019
ID00055	0	13/11/2019
ID00056	0	09/11/2019
ID00058	1	12/11/2019
ID00059	0	10/11/2019
ID00060	0	01/11/2019
ID00061	0	07/11/2019
ID00062	0	08/11/2019
ID00063	0	01/11/2019
ID00064	0	08/11/2019
ID00065	0	12/11/2019
ID00067	0	12/11/2019
ID00069	0	06/11/2019
ID00070	0	05/11/2019
ID00071	0	05/11/2019
ID00074	0	09/11/2019
ID00075	0	06/11/2019
ID00076	0	11/11/2019
ID00079	0	11/11/2019
ID00080	0	01/11/2019
ID00082	0	12/11/2019
ID00083	0	02/11/2019
ID00084	0	01/11/2019
ID00094	0	06/11/2019
ID00095	0	06/11/2019
ID00096	0	04/11/2019
ID00097	0	14/11/2019
ID00098	0	04/11/2019
ID00099	0	11/11/2019
ID00102	0	13/11/2019
ID00104	0	01/11/2019
ID00108	0	07/11/2019
ID00109	0	07/11/2019
ID00110	0	14/11/2019
ID00111	0	08/11/2019
ID00112	0	13/11/2019
ID00113	0	05/11/2019
ID00114	0	04/11/2019
ID00115	0	13/11/2019
ID00116	0	04/11/2019
ID00117	0	06/11/2019
ID00118	0	07/11/2019
ID00119	0	02/11/2019
ID00120	0	05/11/2019
ID00124	0	03/11/2019
ID00125	0	02/11/2019
ID00129	0	11/11/2019
ID00132	0	10/11/2019
ID00133	0	09/11/2019
ID00134	0	10/11/2019
ID00136	1	15/11/2019
ID00137	0	13/11/2019
ID00138	1	14/11/2019
ID00140	0	02/11/2019
ID00142	0	07/11/2019
ID00144	0	08/11/2019
ID00145	0	04/11/2019
ID00149	0	06/11/2019
ID00151	0	10/11/2019
ID00153	0	05/11/2019
ID00154	0	01/11/2019
ID00155	0	03/11/2019
ID00156	0	09/11/2019
ID00158	0	11/11/2019
ID00159	0	02/11/2019
ID00160	0	04/11/2019
ID00161	1	15/11/2019
ID00163	0	06/11/2019
ID00164	1	14/11/2019
ID00165	0	05/11/2019
ID00166	0	01/11/2019
ID00167	0	05/11/2019
ID00170	0	14/11/2019
ID00171	0	06/11/2019
ID00174	0	10/11/2019
ID00175	0	13/11/2019
ID00176	0	03/11/2019
ID00179	0	12/11/2019
ID00181	0	09/11/2019
ID00183	0	10/11/2019
ID00184	0	12/11/2019
ID00187	0	07/11/2019
ID00190	0	01/11/2019
ID00191	0	11/11/2019
ID00192	0	04/11/2019
ID00193	0	11/11/2019
ID00194	0	07/11/2019
ID00195	0	10/11/2019
ID00196	0	04/11/2019
ID00197	0	11/11/2019
ID00199	0	14/11/2019
ID00200	0	04/11/2019
ID00201	0	03/11/2019
ID00202	0	07/11/2019
ID00203	0	06/11/2019
ID00206	0	03/11/2019
ID00208	0	05/11/2019
ID00209	0	14/11/2019
ID00210	0	01/11/2019
ID00211	0	09/11/2019
ID00213	0	13/11/2019
ID00215	0	07/11/2019
ID00216	0	02/11/2019
ID00217	0	11/11/2019
ID00218	0	09/11/2019
ID00219	0	04/11/2019
ID00221	0	01/11/2019
ID00222	0	11/11/2019
ID00225	0	06/11/2019
ID00226	0	07/11/2019
