ID	TARGET	EVENT_DATE
ID00002	0	04/10/2019
ID00003	0	09/10/2019
ID00004	0	08/10/2019
ID00007	0	01/10/2019
ID00009	0	04/10/2019
ID00011	0	07/10/2019
ID00012	0	12/10/2019
ID00014	0	10/10/2019
ID00016	0	14/10/2019
ID00018	0	04/10/2019
ID00019	0	06/10/2019
ID00020	0	05/10/2019
ID00021	0	03/10/2019
ID00023	0	13/10/2019
ID00024	0	07/10/2019
ID00029	0	10/10/2019
ID00030	0	12/10/2019
ID00031	0	06/10/2019
ID00032	0	09/10/2019
ID00033	0	06/10/2019
ID00034	0	02/10/2019
ID00036	0	07/10/2019
ID00037	0	05/10/2019
ID00039	0	12/10/2019
ID00040	0	03/10/2019
ID00041	0	05/10/2019
ID00042	0	06/10/2019
ID00043	0	13/10/2019
ID00044	0	12/10/2019
ID00045	0	11/10/2019
ID00047	0	13/10/2019
ID00050	0	08/10/2019
ID00051	1	08/10/2019
ID00052	0	12/10/2019
ID00053	0	03/10/2019
ID00054	0	11/10/2019
ID00056	0	07/10/2019
ID00058	0	11/10/2019
ID00059	0	12/10/2019
ID00062	0	10/10/2019
ID00063	0	11/10/2019
ID00064	0	02/10/2019
ID00065	0	11/10/2019
ID00066	0	12/10/2019
ID00067	0	02/10/2019
ID00069	0	01/10/2019
ID00071	0	03/10/2019
ID00072	1	11/10/2019
ID00074	0	13/10/2019
ID00075	0	14/10/2019
ID00080	0	01/10/2019
ID00083	0	02/10/2019
ID00087	0	03/10/2019
ID00091	1	05/10/2019
ID00093	0	12/10/2019
ID00094	0	01/10/2019
ID00095	0	01/10/2019
ID00097	0	06/10/2019
ID00098	0	03/10/2019
ID00100	0	06/10/2019
ID00102	0	06/10/2019
ID00109	0	06/10/2019
ID00110	0	11/10/2019
ID00111	0	04/10/2019
ID00112	0	05/10/2019
ID00114	0	14/10/2019
ID00115	0	14/10/2019
ID00116	0	11/10/2019
ID00117	0	12/10/2019
ID00118	0	06/10/2019
ID00121	0	10/10/2019
ID00124	0	02/10/2019
ID00125	0	13/10/2019
ID00129	0	02/10/2019
