ID	VAR1	VAR2	VAR3
ID00001	0.197938847	3.170811134	0.162441819
ID00002	0.596428083	2.191428309	1.644124265
ID00003	0.609097558	4.46837792	0.429769578
ID00004	0.289647096	4.198730903	1.516362376
ID00005	0.122495136	3.417557196	0.860337699
ID00006	0.222552252	3.305401444	0.279028247
ID00007	0.738023156	4.232237465	0.572367098
ID00008	0.424372019	4.629511615	0.855577216
ID00009	0.74990747	3.475800759	0.247538482
ID00010	0.807372047	4.548519323	1.910706216
ID00011	0.016250766	3.668153879	0.898360859
ID00012	0.47689363	2.756240783	0.71519622
ID00013	0.602979543	4.337986467	0.957891608
ID00014	0.098822993	4.729650686	0.003472252
ID00015	0.742860686	3.431070777	0.641581344
ID00016	0.32919423	2.764729221	1.862945113
ID00017	0.752873397	2.032049833	0.308404821
ID00018	0.148908475	2.301475166	0.992190422
ID00019	0.754614926	4.249117305	1.192271863
ID00020	0.375772265	4.526148253	0.122369879
ID00021	0.858874015	2.620836644	0.036301089
ID00022	0.711082269	4.118310905	0.421573897
ID00023	0.301370808	2.124800815	0.127140498
ID00024	0.475200424	4.609433994	0.590529647
ID00025	0.449983063	4.997990412	0.261867476
ID00026	0.088092279	4.694426428	1.42195647
ID00027	0.065425054	2.144186591	0.861570951
ID00028	0.979429271	2.585412486	1.616550533
ID00029	0.810694572	3.953762193	0.928421401
ID00030	0.15585085	2.939651944	0.215372198
ID00031	0.020211196	3.339670129	0.149442735
ID00032	0.899506064	3.578422224	0.955854951
ID00033	0.646172137	3.651281124	1.350618924
ID00034	0.212884573	3.220818725	0.018564574
ID00035	0.2944315	2.752701909	1.598466257
ID00036	0.930255956	3.599084698	0.421153887
ID00037	0.423992131	2.531677908	0.219962988
ID00038	0.162622651	4.227442442	0.380496756
ID00039	0.894332808	3.752594358	0.76830033
ID00040	0.540167793	2.349407675	0.105225345
ID00041	0.904071423	3.228469987	0.137968658
ID00042	0.503771155	4.334103855	0.497225192
ID00043	0.766576876	2.251938094	0.393173593
ID00044	0.513914173	4.629275216	0.046412089
ID00045	0.519470398	4.723198952	0.40729085
ID00046	0.789915901	3.923922192	0.301011367
ID00047	0.973351827	3.393050435	0.754161565
ID00048	0.88172796	3.734387351	0.877080474
ID00049	0.68574967	3.070760349	0.754927987
ID00050	0.76930881	2.700187223	0.871138638
ID00051	0.892593699	2.692122805	1.58003804
ID00052	0.948765384	3.683825881	0.840471459
ID00053	0.024178255	3.197917474	0.561455562
ID00054	0.236208501	4.908365214	0.196267009
ID00055	0.694660012	4.466921277	0.019129288
ID00056	0.822921682	4.634894546	0.049011401
ID00057	0.032538913	4.191724249	0.130355354
ID00058	0.137210865	2.152620762	0.270376024
ID00059	0.298506341	2.548733642	0.159424561
ID00060	0.19469306	2.850177234	0.34742816
ID00061	0.077387583	4.237483014	0.09892107
ID00062	0.223446165	3.996841272	0.255923216
ID00063	0.094272733	3.346562953	0.180654657
ID00064	0.771954184	3.510839901	0.756788096
ID00065	0.94044362	3.826383733	0.830928545
ID00066	0.653861378	3.651614012	1.172710317
ID00067	0.255761128	4.12534697	0.451035987
ID00068	0.726604706	2.537097011	0.372066027
ID00069	0.439378658	2.225276239	0.236794772
ID00070	0.423374181	2.528939586	1.720064226
ID00071	0.252458211	3.4314409	0.923566902
ID00072	0.531550644	2.400556351	1.29950196
ID00073	0.38600101	3.566960593	0.432450022
ID00074	0.807719321	4.354557515	0.896082984
ID00075	0.926303658	3.666406166	0.055516255
ID00076	0.711553972	2.028624282	0.751276434
ID00077	0.044428786	2.033007419	1.08041554
ID00078	0.823763003	4.49674087	1.297013478
ID00079	0.334284783	2.671307368	0.350705374
ID00080	0.825984237	2.280802122	0.321194516
ID00081	0.614357791	3.248926789	0.687899259
ID00082	0.286131674	2.697953288	0.162815491
ID00083	0.856420894	3.966857851	0.05405906
ID00084	0.571747452	2.639125937	0.151942126
ID00085	0.439857998	4.515494922	1.308549722
ID00086	0.651140844	4.648028293	1.433581219
ID00087	0.85890157	3.976880742	1.338270654
ID00088	0.433928999	2.956327517	0.150740297
ID00089	0.913830807	3.176753188	1.597130569
ID00090	0.614040585	4.534199428	0.064617788
ID00091	0.986055447	3.050308747	1.770387141
ID00092	0.691863337	3.075538929	0.261318369
ID00093	0.097734985	3.257228008	0.519409538
ID00094	0.191722919	2.205307898	0.583404126
ID00095	0.676685776	4.166519971	0.573510095
ID00096	0.135465554	4.48172815	0.393568929
ID00097	0.708095505	3.941823046	0.9703176
ID00098	0.001146669	2.735926944	0.468174955
ID00099	0.641867113	2.932491792	0.984593778
ID00100	0.150766997	3.45411886	1.45878824
ID00101	0.11459382	2.523077063	0.362487588
ID00102	0.101235735	4.205463369	0.344193825
ID00103	0.429478657	2.457347053	1.601594853
ID00104	0.966247362	4.272697609	0.973928171
ID00105	0.547975631	2.112009445	1.759340207
ID00106	0.80806528	3.806384429	0.650251294
ID00107	0.130056257	2.566655896	0.484290175
ID00108	0.551808615	3.900713444	0.13925029
ID00109	0.726383423	4.551817956	0.664249246
ID00110	0.6412339	2.138038419	0.087246857
ID00111	0.201764946	3.926498003	0.667814053
ID00112	0.307454552	3.567441142	0.156151755
ID00113	0.212997494	2.693233284	0.350081166
ID00114	0.947207208	3.187866578	0.875170669
ID00115	0.180111145	2.321011289	0.266721851
ID00116	0.09821095	2.950187114	0.234049837
ID00117	0.525195437	3.664042098	0.091731777
ID00118	0.043544786	4.9393471	0.903031835
ID00119	0.616279906	2.155511861	0.109873043
ID00120	0.091566097	2.40518354	0.640446743
ID00121	0.898313491	3.688214468	1.884103904
ID00122	0.538049187	2.822249227	1.35300361
