ID	TARGET	EVENT_DATE
ID00001	1	23/09/2019
ID00002	1	14/11/2019
ID00003	0	
ID00004	1	17/10/2019
ID00005	1	03/09/2019
ID00006	0	
ID00007	0	
ID00008	1	09/09/2019
ID00009	1	22/11/2019
ID00010	1	12/09/2019
ID00011	0	
ID00012	0	
ID00013	1	10/09/2019
ID00014	0	
ID00015	1	23/09/2019
ID00016	1	26/10/2019
ID00017	0	
ID00018	0	
ID00019	1	28/10/2019
ID00020	1	19/11/2019
ID00021	0	
ID00022	0	
ID00023	0	
ID00024	0	
ID00025	1	07/09/2019
ID00026	1	14/11/2019
ID00027	0	
ID00028	1	04/09/2019
ID00029	0	
ID00030	0	
ID00031	0	
ID00032	1	26/11/2019
ID00033	1	06/11/2019
ID00034	0	
ID00035	1	12/09/2019
ID00036	0	
ID00037	0	
ID00038	0	
ID00039	0	
ID00040	0	
ID00041	0	
ID00042	0	
ID00043	0	
ID00044	1	24/10/2019
ID00045	0	
ID00046	0	
ID00047	0	
ID00048	0	
ID00049	1	09/11/2019
ID00050	1	28/11/2019
ID00051	1	08/10/2019
ID00052	0	
ID00053	0	
ID00054	0	
ID00055	0	
ID00056	0	
ID00057	1	28/09/2019
ID00058	1	12/11/2019
ID00059	0	
ID00060	0	
ID00061	0	
ID00062	0	
ID00063	0	
ID00064	0	
ID00065	0	
ID00066	1	28/10/2019
ID00067	0	
ID00068	1	28/10/2019
ID00069	0	
ID00070	1	25/11/2019
ID00071	0	
ID00072	1	11/10/2019
ID00073	1	31/10/2019
ID00074	0	
ID00075	0	
ID00076	0	
ID00077	1	13/09/2019
ID00078	1	27/09/2019
ID00079	0	
ID00080	0	
ID00081	1	29/10/2019
ID00082	0	
ID00083	0	
ID00084	0	
ID00085	1	09/09/2019
ID00086	1	14/09/2019
ID00087	1	22/10/2019
ID00088	1	21/10/2019
ID00089	1	11/10/2019
ID00090	1	10/10/2019
ID00091	1	05/10/2019
ID00092	1	30/09/2019
ID00093	1	18/10/2019
ID00094	0	
ID00095	0	
ID00096	0	
ID00097	0	
ID00098	0	
ID00099	0	
ID00100	1	25/10/2019
ID00101	1	05/09/2019
ID00102	0	
ID00103	1	05/09/2019
ID00104	0	
ID00105	1	17/09/2019
ID00106	1	12/09/2019
ID00107	1	05/09/2019
ID00108	0	
ID00109	0	
ID00110	0	
ID00111	0	
ID00112	0	
ID00113	0	
ID00114	0	
ID00115	0	
ID00116	0	
ID00117	0	
ID00118	0	
ID00119	0	
ID00120	0	
ID00121	1	29/10/2019
ID00122	1	12/09/2019
ID00123	1	14/09/2019
ID00124	0	
ID00125	0	
ID00126	1	07/09/2019
ID00127	1	20/09/2019
ID00128	1	14/10/2019
ID00129	0	
ID00130	1	26/09/2019
ID00131	1	11/09/2019
ID00132	0	
ID00133	0	
ID00134	0	
ID00135	1	04/10/2019
ID00136	1	15/11/2019
ID00137	0	
ID00138	1	14/11/2019
ID00139	1	10/09/2019
ID00140	1	16/11/2019
ID00141	1	16/09/2019
ID00142	0	
ID00143	1	08/10/2019
ID00144	0	
ID00145	0	
ID00146	1	03/09/2019
ID00147	1	28/10/2019
ID00148	1	19/10/2019
ID00149	0	
ID00150	1	25/10/2019
ID00151	0	
ID00152	1	28/09/2019
ID00153	0	
ID00154	0	
ID00155	0	
ID00156	0	
ID00157	1	14/09/2019
ID00158	0	
ID00159	0	
ID00160	0	
ID00161	1	15/11/2019
ID00162	1	21/10/2019
ID00163	0	
ID00164	1	14/11/2019
ID00165	0	
ID00166	0	
ID00167	1	21/11/2019
ID00168	1	19/10/2019
ID00169	1	07/10/2019
ID00170	0	
ID00171	0	
ID00172	1	28/10/2019
ID00173	1	05/09/2019
ID00174	0	
ID00175	0	
ID00176	0	
ID00177	1	12/10/2019
ID00178	1	26/09/2019
ID00179	0	
ID00180	1	18/09/2019
ID00181	0	
ID00182	1	14/10/2019
ID00183	1	19/11/2019
ID00184	0	
ID00185	1	11/10/2019
ID00186	1	30/10/2019
ID00187	0	
ID00188	1	21/09/2019
ID00189	1	11/09/2019
ID00190	0	
ID00191	0	
ID00192	0	
ID00193	0	
ID00194	0	
ID00195	0	
ID00196	0	
ID00197	0	
ID00198	1	19/10/2019
ID00199	0	
ID00200	0	
ID00201	0	
ID00202	0	
ID00203	0	
ID00204	1	31/10/2019
ID00205	1	03/09/2019
ID00206	0	
ID00207	1	21/10/2019
ID00208	0	
ID00209	0	
ID00210	0	
ID00211	1	19/11/2019
ID00212	1	11/09/2019
ID00213	0	
ID00214	1	13/09/2019
ID00215	0	
ID00216	0	
ID00217	0	
ID00218	0	
ID00219	0	
ID00220	1	26/09/2019
ID00221	0	
ID00222	0	
ID00223	1	16/09/2019
ID00224	1	04/09/2019
ID00225	0	
ID00226	0	
ID00227	0	
ID00228	1	16/09/2019
ID00229	1	04/11/2019
ID00230	0	
ID00231	1	22/10/2019
ID00232	0	
ID00233	0	
ID00234	0	
ID00235	0	
ID00236	1	23/10/2019
ID00237	0	
ID00238	1	21/09/2019
ID00239	1	07/11/2019
ID00240	0	
ID00241	0	
ID00242	0	
ID00243	1	07/10/2019
ID00244	1	07/10/2019
ID00245	0	
ID00246	0	
ID00247	1	15/10/2019
ID00248	1	15/11/2019
ID00249	0	
ID00250	1	21/10/2019
ID00251	0	
ID00252	0	
ID00253	0	
ID00254	0	
ID00255	0	
ID00256	0	
ID00257	0	
ID00258	1	11/10/2019
ID00259	0	
ID00260	1	20/09/2019
ID00261	0	
ID00262	0	
ID00263	1	21/09/2019
ID00264	0	
ID00265	0	
ID00266	0	
ID00267	1	15/10/2019
ID00268	0	
ID00269	0	
ID00270	0	
ID00271	0	
ID00272	0	
ID00273	0	
ID00274	0	
ID00275	0	
ID00276	1	24/09/2019
ID00277	1	02/10/2019
ID00278	0	
ID00279	0	
ID00280	0	
ID00281	0	
ID00282	0	
ID00283	1	10/10/2019
ID00284	0	
ID00285	1	27/09/2019
ID00286	0	
ID00287	1	19/09/2019
ID00288	0	
ID00289	1	06/09/2019
ID00290	0	
ID00291	0	
ID00292	0	
ID00293	1	29/11/2019
ID00294	1	12/11/2019
ID00295	0	
ID00296	0	
ID00297	1	07/10/2019
ID00298	0	
ID00299	1	12/10/2019
ID00300	0	
ID00301	0	
ID00302	0	
ID00303	0	
ID00304	0	
ID00305	1	04/11/2019
ID00306	0	
ID00307	0	
ID00308	0	
ID00309	0	
ID00310	1	28/09/2019
ID00311	1	07/11/2019
ID00312	0	
ID00313	0	
ID00314	0	
ID00315	1	23/11/2019
ID00316	0	
ID00317	0	
ID00318	1	13/09/2019
ID00319	1	30/09/2019
ID00320	0	
ID00321	0	
ID00322	0	
ID00323	1	25/09/2019
ID00324	1	07/11/2019
ID00325	0	
ID00326	0	
ID00327	1	13/11/2019
ID00328	0	
ID00329	0	
ID00330	0	
ID00331	0	
ID00332	0	
ID00333	1	28/09/2019
ID00334	1	04/11/2019
ID00335	0	
ID00336	1	24/10/2019
ID00337	0	
ID00338	0	
ID00339	0	
ID00340	0	
ID00341	0	
ID00342	0	
ID00343	1	11/10/2019
ID00344	0	
ID00345	0	
ID00346	1	13/11/2019
ID00347	0	
ID00348	0	
ID00349	1	30/11/2019
ID00350	0	
ID00351	0	
